School.Name	State	Admin2011	Tuition2011	AdminperDollar
Southern Arkansas University Main Campus	Arkansas	80	7028.3233818275	0.0113825155238088
Muskegon Community College	Michigan	56	4924.7977719702	0.0113710252873179
Massachusetts College of Liberal Arts	Massachusetts	95	8363.35268320912	0.0113590809330245
Saint Joseph's University	Pennsylvania	431	37948.3891409018	0.0113575308401024
Southwest Virginia Community College	Virginia	34	2995.27132629607	0.0113512254137071
Frank Phillips College	Texas	38	3366.05525949593	0.0112891788965136
Dabney S Lancaster Community College	Virginia	34	3020.12834975081	0.0112577996901374
Seattle University	Washington	381	33867.6944570821	0.0112496585937614
Rappahannock Community College	Virginia	34	3025.30689630388	0.0112385292353443
Flathead Valley Community College	Montana	58	5208.58212307847	0.0111354680850688
Linn-Benton Community College	Oregon	44	3958.48098516722	0.0111153748533521
Louisiana State University-Alexandria	Louisiana	50	4559.19238532341	0.0109668546036697
Life University	Georgia	100	9129.77757306358	0.0109531693625307
Danville Area Community College	Illinois	67	6121.04202572952	0.0109458487163409
Biola University	California	339	30975.9940618475	0.010943958709546
Cheyney University of Pennsylvania	Pennsylvania	95	8704.10104640117	0.0109143953515198
Germanna Community College	Virginia	43	3954.33814792476	0.0108741332661615
University of Hartford	Connecticut	345	31852.204138627	0.0108312755531295
Oral Roberts University	Oklahoma	231	21497.1824511069	0.0107455942435891
Butler University	Indiana	355	33088.8410555003	0.0107286924738329
George C Wallace State Community College-Dothan	Alabama	37	3448.91200434506	0.0107280208811898
John Wood Community College	Illinois	80	7457.10703642176	0.0107280208811898
Technical College of the Lowcountry	South Carolina	40	3732.69635545333	0.010716114087759
Arapahoe Community College	Colorado	30	2822.30787142351	0.0106295986712706
Southside Virginia Community College	Virginia	40	3775.16043718851	0.0105955761789529
Mississippi College	Mississippi	154	14539.2873024012	0.0105919909825681
Metropolitan Community College-Kansas City	Missouri	51	4878.19085299256	0.0104546955084206
Pueblo Community College	Colorado	33	3160.98481599433	0.0104397844092837
Central Alabama Community College	Alabama	29	2796.41513865816	0.0103704201851501
Bayamon Central University	Puerto Rico	60	5799.97213943914	0.0103448772782902
Benedictine University	Illinois	247	24011.8846572781	0.0102865728169794
Ridgewater College	Minnesota	55	5357.72426380691	0.0102655525540092
National Louis University	Illinois	200	19569.727424054	0.0102198664123533
Central Lakes College-Brainerd	Minnesota	55	5395.00979898902	0.0101946061358974
Claflin University	South Carolina	140	13847.433482911	0.010110176746671
Andrews University	Michigan	244	24264.5977290679	0.0100558023967444
Eastern Maine Community College	Maine	34	3383.66231777637	0.0100482840209491
Salem Community College	New Jersey	49	4903.0478764473	0.00999378371061407
Lesley University	Massachusetts	316	31635.7408927087	0.00998870236899781
City Colleges of Chicago-Harold Washington College	Illinois	58	5807.22210461344	0.00998756358120399
Fairleigh Dickinson University-Metropolitan Campus	New Jersey	336	33699.9095487627	0.00997035317005285
Riverland Community College	Minnesota	55	5532.7591373007	0.00994079059563638
Virginia Highlands Community College	Virginia	37	3759.6247975293	0.0098414075852237
Lewis University	Illinois	251	25654.5196239121	0.00978385109834791
Quinnipiac University	Connecticut	366	37420.1773924886	0.00978081948038727
Peru State College	Nebraska	57	5849.68618634862	0.00974411245051411
Cisco College	Texas	28	2877.20046488606	0.00973168200885468
Blue Ridge Community College	North Carolina	41	4244.33675489672	0.00965993095451205
Vermont Technical College	Vermont	120	12515.5113094612	0.00958810207852117
Emmanuel College	Massachusetts	144	15069.5704694356	0.00955568045499793
Ithaca College	New York	349	36537.7530598454	0.00955176415551255
Calvin College	Michigan	252	26477.9085258503	0.00951736802602718
Valparaiso University	Indiana	305	32148.4170014627	0.00948724784757281
Enterprise State Community College	Alabama	36	3798.98175133264	0.00947622346102916
Saint Mary's University of Minnesota	Minnesota	267	28223.0787142351	0.00946034281743086
University of Detroit Mercy	Michigan	318	33660.5525949593	0.00944726023445083
