School.Name	State	Admin1987	Admin2011	Student1987	Student2011	AdminFC	StudentFC	AdmintoStudentFCRatio
Rutgers University-Camden	New Jersey	81	251	3670	5519	3.09876543209877	1.50381471389646	2.06060321358987
Onondaga Community College	New York	49	177	4879	8553	3.61224489795918	1.75302316048371	2.06058024753219
Shepherd University	West Virginia	46	127	2841	3809	2.76086956521739	1.3407250967969	2.05923613409887
Bennett College for Women	North Carolina	31	84	545	718	2.70967741935484	1.31743119266055	2.05678857040165
The University of Tennessee	Tennessee	1096	3008	20935	27943	2.74452554744526	1.33475041796035	2.05620879417981
Alexandria Technical & Community College	Minnesota	14	42	1554	2268	3	1.45945945945946	2.05555555555556
Tunxis Community College	Connecticut	20	72	1623	2843	3.6	1.7516943930992	2.05515300738656
Northwestern Oklahoma State University	Oklahoma	23	60	1443	1832	2.60869565217391	1.26957726957727	2.05477501423961
Manhattan College	New York	84	176	3340	3411	2.0952380952381	1.02125748502994	2.05162569278664
College of the Holy Cross	Massachusetts	133	327	2607	3132	2.45864661654135	1.20138089758343	2.04651715495636
Eastern Connecticut State University	Connecticut	64	210	3183	5105	3.28125	1.6038328620798	2.04588026444662
Pennsylvania State University-Penn State Beaver	Pennsylvania	22	39	932	808	1.77272727272727	0.866952789699571	2.04477947794779
Louisiana State University-Shreveport	Louisiana	67	149	3062	3333	2.22388059701493	1.08850424559112	2.04306102252016
Rose-Hulman Institute of Technology	Indiana	46	138	1314	1932	3	1.4703196347032	2.04037267080745
Brevard Community College	Florida	72	268	7267	13261	3.72222222222222	1.8248245493326	2.03976991847439
School of the Museum of Fine Arts-Boston	Massachusetts	22	41	798	731	1.86363636363636	0.916040100250627	2.03444845168511
Davidson College	North Carolina	105	298	1372	1915	2.83809523809524	1.39577259475219	2.03335073977372
Carroll College	Montana	35	86	1109	1342	2.45714285714286	1.21009918845807	2.03053012561209
Wiregrass Georgia Technical College	Georgia	13	110	796	3318	8.46153846153846	4.16834170854271	2.02995316919368
Pomona College	California	84	190	1407	1568	2.26190476190476	1.11442786069652	2.0296556122449
University of Alaska Fairbanks	Alaska	183	662	3650	6506	3.61748633879781	1.78246575342466	2.02948434316201
Colorado Mesa University	Colorado	41	182	3397	7445	4.4390243902439	2.19163968207242	2.02543530606562
Salem State University	Massachusetts	105	261	6597	8097	2.48571428571429	1.22737608003638	2.02522627428148
Auburn University at Montgomery	Alabama	110	213	4431	4240	1.93636363636364	0.956894606183706	2.02359133790738
Whittier College	California	46	173	1261	2346	3.76086956521739	1.86042823156225	2.02150746877201
Henderson Community College	Kentucky	8	31	723	1386	3.875	1.91701244813278	2.02137445887446
Marquette University	Wisconsin	363	809	10120	11159	2.22865013774105	1.10266798418972	2.02114341732587
Indiana University-Purdue University-Indianapolis	Indiana	706	3355	13386	31493	4.75212464589235	2.35268190646945	2.01987554408646
Valparaiso University	Indiana	127	305	3396	4038	2.40157480314961	1.18904593639576	2.01974938868154
Chattanooga State Community College	Tennessee	59	186	4460	6963	3.15254237288136	1.56121076233184	2.01929326196336
University of Louisiana at Lafayette	Louisiana	223	531	12607	14876	2.38116591928251	1.17997937653684	2.01797248886761
University of Southern Maine	Maine	253	568	6220	6925	2.24505928853755	1.11334405144695	2.01650090609438
Arizona Western College	Arizona	29	136	2408	5601	4.68965517241379	2.32599667774086	2.01619168990759
Case Western Reserve University	Ohio	775	2171	5916	8220	2.80129032258065	1.3894523326572	2.01611113727337
Fashion Institute of Technology	New York	73	189	7127	9172	2.58904109589041	1.28693700014031	2.01178542198113
Macon State College	Georgia	26	140	1794	4802	5.38461538461539	2.67670011148272	2.01166180758017
Coe College	Iowa	31	91	1036	1512	2.93548387096774	1.45945945945946	2.01135005973716
SUNY at Albany	New York	318	771	12752	15375	2.42452830188679	1.20569322459222	2.01089983126246
San Francisco State University	California	357	1006	17405	24391	2.81792717086835	1.40137891410514	2.01082458320543
Eastern Kentucky University	Kentucky	263	679	10551	13547	2.58174904942966	1.28395412757085	2.01077981992562
University of Wisconsin-Oshkosh	Wisconsin	179	427	8972	10654	2.3854748603352	1.18747213553277	2.00886807273581
Coastal Bend College	Texas	23	62	1779	2390	2.69565217391304	1.34345137717819	2.00651264325996
Mount Wachusett Community College	Massachusetts	39	131	1916	3209	3.35897435897436	1.67484342379958	2.00554530127606
Moore College of Art and Design	Pennsylvania	28	45	626	502	1.60714285714286	0.801916932907348	2.00412635173591
Minneapolis College of Art and Design	Minnesota	28	60	603	645	2.14285714285714	1.06965174129353	2.00332225913621
Southern California University of Health Sciences	California	30	62	993	1025	2.06666666666667	1.03222557905337	2.00214634146341
John Carroll University	Ohio	92	220	2914	3488	2.39130434782609	1.19698009608785	1.99778121260471
Thomas Edison State College	New Jersey	58	231	2326	4639	3.98275862068966	1.99441100601892	1.99695980851997
Missouri Southern State University	Missouri	59	140	3771	4486	2.3728813559322	1.18960487934235	1.99468024815433
University of North Carolina at Greensboro	North Carolina	207	850	8052	16585	4.10628019323671	2.05973671137606	1.99359470099138
Hopkinsville Community College	Kentucky	10	59	890	2636	5.9	2.96179775280899	1.99203338391502
East Arkansas Community College	Arkansas	23	51	821	914	2.21739130434783	1.11327649208283	1.9917705261155
Texas State Technical College-West Texas	Texas	24	96	661	1329	4	2.01059001512859	1.98946576373213
Albany College of Pharmacy and Health Sciences	New York	15	77	629	1623	5.13333333333333	2.58028616852146	1.98944341753954
North Dakota State University-Main Campus	North Dakota	248	808	7924	12978	3.25806451612903	1.63780918727915	1.98928211017156
SUNY at Purchase College	New York	87	249	3065	4417	2.86206896551724	1.44110929853181	1.98601797131771
Butler University	Indiana	94	355	2206	4197	3.77659574468085	1.90253853127833	1.98502983387323
City Colleges of Chicago-Kennedy-King College	Illinois	55	86	6412	5060	1.56363636363636	0.78914535246413	1.98143011139059
Florida Institute of Technology	Florida	97	254	3392	4484	2.61855670103093	1.32193396226415	1.98085288356309
Weatherford College	Texas	14	99	1123	4010	7.07142857142857	3.57079252003562	1.98035268970431
St Olaf College	Minnesota	83	167	3084	3135	2.01204819277108	1.01653696498054	1.97931630829538
Walters State Community College	Tennessee	27	112	2200	4612	4.14814814814815	2.09636363636364	1.97873502296746
Harrisburg Area Community College-Harrisburg	Pennsylvania	48	339	3831	13688	7.0625	3.57295745236231	1.97665382086499
City Colleges of Chicago-Olive-Harvey College	Illinois	54	71	5554	3697	1.31481481481481	0.665646380986676	1.97524519380078
Loyola University Maryland	Maryland	104	324	3405	5372	3.11538461538462	1.5776798825257	1.97466206541039
Rock Valley College	Illinois	49	148	4248	6499	3.02040816326531	1.52989642184557	1.97425663602878
Midland University	Nebraska	26	68	752	997	2.61538461538462	1.32579787234043	1.97268729264717
Northeast Iowa Community College-Calmar	Iowa	11	81	927	3464	7.36363636363636	3.73678532901834	1.97058051648121
Alabama Southern Community College	Alabama	9	36	595	1210	4	2.03361344537815	1.96694214876033
Inter American University of Puerto Rico-Ponce	Puerto Rico	20	80	3042	6195	4	2.03648915187377	1.96416464891041
Delaware State University	Delaware	92	364	1801	3631	3.95652173913043	2.01610216546363	1.96246093422581
University of Nebraska at Kearney	Nebraska	104	193	6297	5961	1.85576923076923	0.946641257741782	1.96037222716891
Capital Community College	Connecticut	17	64	1413	2715	3.76470588235294	1.92144373673036	1.95931101722457
Western New England University	Massachusetts	94	214	3066	3566	2.27659574468085	1.16307893020222	1.95738714335151
Louisiana State University and Agricultural & Mechanical College	Louisiana	1132	2608	24297	28621	2.30388692579505	1.17796435773964	1.95582057356635
The Richard Stockton College of New Jersey	New Jersey	101	366	4414	8180	3.62376237623762	1.85319438151337	1.95541407441478
Grinnell College	Iowa	60	155	1258	1662	2.58333333333333	1.32114467408585	1.95537505014039
SUNY College at Plattsburgh	New York	92	200	5484	6098	2.17391304347826	1.11196207148067	1.9550244556305
Western Illinois University	Illinois	275	611	9798	11136	2.22181818181818	1.13655848132272	1.95486481191223
Anoka-Ramsey Community College	Minnesota	29	107	3202	6048	3.68965517241379	1.88881948782011	1.95341862798759
Florida Keys Community College	Florida	29	52	987	906	1.79310344827586	0.917933130699088	1.95341402146609
Southern Utah University	Utah	48	230	2669	6552	4.79166666666667	2.45485200449607	1.95191671754172
Seton Hall University	New Jersey	172	501	5775	8618	2.91279069767442	1.49229437229437	1.951887477265
Elgin Community College	Illinois	38	203	3062	8382	5.34210526315789	2.73742651861528	1.95150636074797
University of San Diego	California	154	542	4545	8216	3.51948051948052	1.80770077007701	1.94693755611477
Temple College	Texas	18	93	1506	3999	5.16666666666667	2.65537848605578	1.94573643410853
Lincoln University of Pennsylvania	Pennsylvania	61	158	1263	1682	2.59016393442623	1.33174980205859	1.94493284731292
Cornell University	New York	870	3154	11420	21336	3.62528735632184	1.86830122591944	1.94041908554534
Appalachian State University	North Carolina	142	470	10050	17149	3.30985915492958	1.70636815920398	1.93970986687517
Columbia College-Chicago	Illinois	77	352	4452	10513	4.57142857142857	2.36141060197664	1.93588889945781
Rice University	Texas	295	953	3826	6388	3.23050847457627	1.66962885520125	1.93486622162317
University of Tulsa	Oklahoma	241	502	3667	3956	2.08298755186722	1.07881101718026	1.93081783435215
North Carolina Wesleyan College	North Carolina	41	88	1053	1171	2.14634146341463	1.11206077872745	1.93005769511154
Community College of Aurora	Colorado	15	96	1453	4822	6.4	3.31865106675843	1.92849440066363
St. Francis College	New York	35	105	1564	2433	3	1.55562659846547	1.92848335388409
Linfield College-McMinnville Campus	Oregon	50	107	1565	1741	2.14	1.11246006389776	1.92366456059736
University of Puerto Rico-Mayaguez	Puerto Rico	175	445	8838	11688	2.54285714285714	1.3224711473184	1.92280727486066
